"NormalizedSlug","Count","Paths"
"agents","2","docs/CCWM/AGENTS.md;docs/codebase-audit/AGENTS.md"
"clone-offline-player-characters","2","docs/codebase-audit/outputs/system-cards/clone-offline-player-characters.md;docs/wiki/Clone_Offline_Player_Characters.md"
"crafting-core","2","docs/codebase-audit/outputs/system-cards/crafting-core.md;docs/wiki/Crafting_Core.md"
"offline-skill-training","2","docs/codebase-audit/outputs/system-cards/offline-skill-training.md;docs/wiki/offline-skill-training.md"
"omniai","2","docs/codebase-audit/outputs/system-cards/omniai.md;docs/wiki/OmniAI.md"
"pvp-consent-system","2","docs/wiki/PvP_Consent_System.md;docs/wiki/pvp-consent-system.md"
"readme","5","docs/CCWM/README.md;docs/CCWM/tools/live-state-exporter/README.md;docs/codebase-audit/README.md;docs/codebase-audit/outputs/README.md;docs/codebase-audit/tools/README.md"
"staff-toolbar","2","docs/codebase-audit/outputs/system-cards/staff-toolbar.md;docs/wiki/Staff_Toolbar.md"
"static-gump-tool","2","docs/codebase-audit/outputs/system-cards/static-gump-tool.md;docs/wiki/Static_Gump_Tool.md"
